Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2020-01-02,153.63070678710938,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100
2020-01-03,151.7177276611328,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200
2020-01-06,152.10986328125,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700
2020-01-07,150.72299194335938,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100
2020-01-08,153.123779296875,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500
2020-01-09,155.03672790527344,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000
2020-01-10,154.31936645507812,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900
2020-01-13,156.17494201660156,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500
2020-01-14,155.07501220703125,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400
2020-01-15,156.0792694091797,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900
2020-01-16,158.93919372558594,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400
2020-01-17,159.8287353515625,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700
2020-01-21,159.25482177734375,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200
2020-01-22,158.48965454101562,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800
2020-01-23,159.4652557373047,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800
2020-01-24,157.85833740234375,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100
2020-01-27,155.2184600830078,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100
2020-01-28,158.26010131835938,165.4600067138672,165.75999450683594,163.07000732421875,163.77999877929688,24899900
2020-01-29,160.72781372070312,168.0399932861328,168.75,165.69000244140625,167.83999633789062,34754500
2020-01-30,165.2615966796875,172.77999877929688,174.0500030517578,170.7899932861328,174.0500030517578,51597500
2020-01-31,162.8225555419922,170.22999572753906,172.39999389648438,169.5800018310547,172.2100067138672,36142700
2020-02-03,166.79193115234375,174.3800048828125,174.5,170.39999389648438,170.42999267578125,30107000
2020-02-04,172.28216552734375,180.1199951171875,180.63999938964844,176.30999755859375,177.13999938964844,36433300
2020-02-05,172.07174682617188,179.89999389648438,184.1999969482422,178.41000366210938,184.02999877929688,39186300
2020-02-06,175.63941955566406,183.6300048828125,183.82000732421875,180.05999755859375,180.97000122070312,27751400
2020-02-07,175.8881378173828,183.88999938964844,185.6300048828125,182.47999572753906,182.85000610351562,33529100
2020-02-10,180.48880004882812,188.6999969482422,188.83999633789062,183.25,183.5800018310547,35844300
2020-02-11,176.41416931152344,184.44000244140625,190.6999969482422,183.5,190.64999389648438,53159900
2020-02-12,176.67245483398438,184.7100067138672,185.85000610351562,181.85000610351562,185.5800018310547,47062900
2020-02-13,175.71592712402344,183.7100067138672,186.22999572753906,182.8699951171875,183.0800018310547,35295800
2020-02-14,177.28456115722656,185.35000610351562,185.41000366210938,182.64999389648438,183.25,23149500
2020-02-18,179.082763671875,187.22999572753906,187.6999969482422,185.5,185.61000061035156,27792200
2020-02-19,179.61985778808594,187.27999877929688,188.17999267578125,186.47000122070312,188.05999755859375,29997500
2020-02-20,176.87686157226562,184.4199981689453,187.25,181.10000610351562,186.9499969482422,36862400
2020-02-21,171.28526306152344,178.58999633789062,183.5,177.25,183.1699981689453,48572600
2020-02-24,163.90023803710938,170.88999938964844,174.5500030517578,163.22999572753906,167.77000427246094,68311100
2020-02-25,161.1956024169922,168.07000732421875,174.83999633789062,167.64999389648438,174.1999969482422,68073300
2020-02-26,163.20968627929688,170.1699981689453,173.25999450683594,168.2100067138672,169.7100067138672,56206100
2020-02-27,151.71009826660156,158.17999267578125,167.02999877929688,157.97999572753906,163.32000732421875,93174900
2020-02-28,155.38345336914062,162.00999450683594,163.7100067138672,152.0,152.41000366210938,97012700
